Uqno,Psuno_seg,Taz_exp,Stratum,Metro_code,District_code,Pr_code,Geo_type
1611005110000014801,16110051100,900200,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1611006410000004001,16110064100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611006410000008001,16110064100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611006410000016001,16110064100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611006410000020001,16110064100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611006410000024001,16110064100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611006410000024002,16110064100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611006410000036001,16110064100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000002001,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000004101,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000006201,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000008301,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000010401,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000012501,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000014601,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000016701,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000018801,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621000210000020901,16210002100,900300,1102,01,DC01,Western Cape,Urban: Urban area
1621001710000002301,16210017100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621001710000003701,16210017100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621001710000005101,16210017100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621001710000009301,16210017100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621002210000000501,16210022100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621002210000008001,16210022100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621002210000010501,16210022100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621002210000015501,16210022100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1621002210000020501,16210022100,900300,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
